epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness,kldiv_accuracy,kldiv_decisiveness,kldiv_robustness
1.0,241.421630859375,236.65652465820312,4.76509952545166,1.6176956661714165e-52,1.4187896403309062e-105,3.372723285319727e-197,7.285442620896487e-50,1.6648466449505325e-103,9.70805037364274e-195,,,,0.008522044025100399,0.009821377019807231,0.0074182947040474035
2.0,247.02366638183594,241.6324462890625,5.39121675491333,1.3813171296769575e-46,5.2359546626619846e-108,1.8043802719506067e-199,3.074428426081231e-42,1.1491353836606688e-105,4.727257324236705e-197,,,,0.004556429761985402,0.0055366740588766745,0.003684190721847108
3.0,252.101318359375,246.3666534423828,5.734657287597656,5.233933488360732e-48,3.264326542660144e-110,5.003234349349646e-224,7.003491721414026e-43,1.0100056335549913e-107,1.8523510875541927e-221,,,,0.003231988450569784,0.0042552336072790905,0.0021153944194399173
4.0,255.17250061035156,248.97787475585938,6.1946306228637695,2.71722645199195e-47,1.5135520146087606e-111,2.3822038163297264e-226,4.9550149194864587e-42,7.418073179281432e-109,4.0751545576885544e-223,,,,0.0020403573516045797,0.002844833609578272,0.0012810887639165575
5.0,257.64361572265625,251.4799041748047,6.163704872131348,4.8020367271935873e-48,1.2788096013771768e-112,1.1758332835050113e-224,2.0281863089595866e-43,6.076715143342504e-110,9.678840098405814e-222,,,,0.002104442237642493,0.002939002293670105,0.001253272249763463
6.0,260.0950012207031,253.5924530029297,6.502561092376709,5.711320563646809e-48,1.101960316538739e-113,9.83912154440932e-221,1.6952955640205736e-42,7.348387711990615e-111,1.5714380433062082e-217,,,,0.0014995946862474548,0.0020978808838001614,0.0008920155422400464
7.0,260.8177490234375,254.48367309570312,6.33406400680542,1.5667030397574847e-49,5.34931664474159e-114,2.046622830281921e-238,1.459340814540313e-44,3.0140293247320445e-111,1.7166737929807404e-235,,,,0.0017748057727398265,0.002430433165259192,0.0011887928440511993
8.0,260.69097900390625,254.35781860351562,6.33316707611084,3.7431510099877265e-47,6.072021914416195e-114,5.235406533397672e-244,5.244970945894061e-42,3.418160313589336e-111,6.476036820880186e-241,,,,0.0017764005656130343,0.0024669161610393346,0.0011362792750886327
9.0,260.4036865234375,254.10940551757812,6.2942938804626465,9.26367951555143e-50,8.092870494375619e-114,2.8331761724708335e-229,3.970742793219021e-45,4.38207167608622e-111,3.896327317836543e-226,,,,0.0018468138114992355,0.0026831838255250043,0.0010883833752255913
10.0,262.4210205078125,255.95387268066406,6.467134952545166,1.6258608562753234e-48,1.076478987268968e-114,5.93992209637529e-236,3.730462726303221e-43,6.928624349389291e-112,1.1193846678624863e-232,,,,0.0015536691455409139,0.002355518975950276,0.0009181093956149975
