epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness,kldiv_accuracy,kldiv_decisiveness,kldiv_robustness
1.0,241.4916229248047,236.9282989501953,4.563326358795166,2.4089340679253374e-49,1.3229477096481935e-105,1.0051852634821426e-209,6.401304358297465e-47,1.2687332583608784e-103,1.6997260239027238e-206,,,,0.010427311658538491,0.013200775272212724,0.00695673005720867
2.0,245.49708557128906,240.53219604492188,4.964890003204346,1.145948090091492e-46,2.409733589500192e-107,2.649301874353629e-238,5.334579050526571e-43,3.452971129365632e-105,3.860469182291726e-236,,,,0.006978724985583389,0.00848191294721675,0.005424535738837265
3.0,249.5604705810547,243.93911743164062,5.621347904205322,1.86631586969185e-46,4.14253343792133e-109,6.161336900642944e-219,1.3218485357459357e-42,1.144422266065578e-106,1.3357703020192643e-216,,,,0.003619759559697287,0.00438751247685035,0.0028709153119394907
4.0,250.56967163085938,244.53329467773438,6.036370277404785,1.5504239756008862e-45,1.5099487838961718e-109,2.4716257160838262e-224,2.618855239656831e-41,6.317195399315677e-107,6.817404935787471e-221,,,,0.002390220166467764,0.0030370758686508893,0.0018579604153402948
5.0,251.71400451660156,245.41949462890625,6.294511318206787,7.08287381800006e-47,4.808352766523274e-110,7.792342646125074e-238,1.3979293718448767e-42,2.6041612621203632e-107,2.108643716181407e-234,,,,0.0018464112942868126,0.0023450905126547444,0.0014667436037129437
6.0,254.0028533935547,247.33529663085938,6.667552947998047,1.183402842807251e-46,4.874892082391305e-111,3.102277241418741e-243,3.1753143349885775e-42,3.833947643663756e-108,1.6006209751290321e-239,,,,0.0012715072127935552,0.001685849415636583,0.0009673004242646036
7.0,255.43148803710938,248.69000244140625,6.741491317749023,1.9407986205315145e-46,1.1681862310750141e-111,8.119693036172648e-249,9.60615176919475e-42,9.892472073611482e-109,2.8740290036570506e-245,,,,0.0011808840322038452,0.0015757959238188774,0.0008933129530802601
8.0,260.02239990234375,253.04339599609375,6.978994369506836,8.023975720634178e-47,1.1849303838535038e-113,4.0276227507031484e-260,2.5291287369407793e-42,1.272424291006455e-110,2.2335770832354052e-256,,,,0.000931238418056487,0.0012982272357966863,0.0006781777514445897
9.0,259.3643798828125,252.40330505371094,6.961075782775879,3.157014301375103e-50,2.2880805234542348e-113,2.1494925712281027e-252,8.741312033275388e-46,2.4133930729854962e-110,1.0694254599012423e-248,,,,0.0009480761957370518,0.0013236196488362415,0.0006994403750499011
10.0,259.67919921875,252.69052124023438,6.988678932189941,2.4607538726792298e-48,1.6701385895444127e-113,1.6525919838034108e-252,9.112373805559346e-44,1.8109130809910417e-110,5.81584018745105e-249,,,,0.0009222632533144067,0.0012656936438755512,0.0006954829934838812
