epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,182.7391815185547,176.85452270507812,5.884659290313721,1.6530899717104474e-31,4.338966043027891e-80,1.3886513668508324e-142,1.1560604288097648e-27,1.559773702896668e-77,7.129303523262483e-140,0.004600258059141843,0.002781792022118289,0.001617842173421135
2.0,170.2285919189453,163.11639404296875,7.112203121185303,2.0092797873089623e-24,1.1766899265764962e-74,9.150541024081135e-160,2.0981359439547122e-19,1.4436184522694718e-71,1.9670733866532272e-157,0.0019395309301853676,0.0008150975936381586,0.00012277982101301292
3.0,166.1874237060547,158.25767517089844,7.929749965667725,1.3393755169137562e-23,6.694579467051987e-73,6.40431093062731e-163,1.9188417487265395e-18,1.8602456087582883e-69,2.9675912993183776e-160,0.0008903897423962816,0.0003598761064416952,4.981267571001439e-05
4.0,163.3661651611328,155.0850830078125,8.281078338623047,6.2943294534073e-24,1.1245451164563273e-71,4.862142202609668e-164,3.233317879090851e-19,4.440207651444943e-68,3.753575128076781e-161,0.000574467809480384,0.000253264082388217,4.277861758970821e-05
5.0,161.3939208984375,152.93630981445312,8.45761489868164,3.9184631016805685e-23,8.08175384420325e-71,1.1726414956678224e-164,4.1569688868922375e-18,3.807158568416688e-67,1.2144864368186163e-161,0.0005184682121865304,0.00021227783657995323,3.281433454542683e-05
6.0,160.35533142089844,151.3131561279297,9.042170524597168,1.6767293532033316e-22,2.2833582414217767e-70,1.701910062604034e-144,1.5384878716666433e-17,1.9299165356381305e-66,7.294813062082543e-141,0.0002670496717928809,0.00011831383374653378,1.3497450425052774e-05
7.0,159.8716583251953,150.9630126953125,8.908645629882812,2.8237018695794614e-23,3.7035021086472816e-70,1.8097957959004332e-151,1.489855761775465e-18,2.7389758510820795e-66,6.704970016412986e-148,0.00028804663793444255,0.00013521485073277165,3.425091803715191e-05
8.0,158.30990600585938,149.3070831298828,9.002816200256348,4.785143257153772e-22,1.7656002930551457e-69,3.447234487852498e-148,4.260979290416952e-17,1.4347155945902476e-65,1.005257495762637e-144,0.00026764211882847783,0.0001230627379888071,2.496649070946394e-05
9.0,157.51806640625,148.21697998046875,9.301085472106934,2.037751473648628e-22,3.897385255386313e-69,2.558672102717877e-154,3.5801757998477195e-17,4.267593993540966e-65,2.66834728076654e-150,0.0002054445638009831,9.13251181177268e-05,1.857717521950339e-05
10.0,156.84967041015625,147.1688690185547,9.680793762207031,4.0351275585424455e-22,7.604290154482859e-69,1.157968139582867e-159,1.6750355169587189e-16,1.2172345107935396e-64,1.1198591617842268e-155,0.00013528370228466593,6.247185802779698e-05,1.4760859305126383e-05
