epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness,kldiv_accuracy,kldiv_decisiveness,kldiv_robustness
1.0,183.5659637451172,177.90386962890625,5.662099361419678,2.207709938232492e-32,1.8980955935040794e-80,1.1755738305612794e-139,8.939929497949058e-29,5.461810454903727e-78,3.9305245657939274e-137,,,,0.0034752132267789402,0.005234323608647944,0.002255514169396034
2.0,170.47145080566406,163.28854370117188,7.182901382446289,2.227035169933543e-24,9.229793451853941e-75,1.6383982608002443e-154,6.327482874967992e-19,1.2153075514923646e-71,4.951823304273445e-152,,,,0.0007594615404569792,0.001846339761537292,0.00011511721037163297
3.0,165.84893798828125,158.0139617919922,7.834979057312012,1.0138841831949701e-23,9.391043147503686e-73,6.707565433767181e-161,9.640962554453096e-19,2.3735694023762e-69,4.569830795543236e-158,,,,0.0003956506659591331,0.0008280382548857162,9.024167239485913e-05
4.0,165.18736267089844,157.03805541992188,8.149312019348145,3.375801803445337e-23,1.8198405607990195e-72,1.4187650477408437e-164,1.7643312197618653e-18,6.298460581703066e-69,1.2825184657103584e-161,,,,0.0002889341827565995,0.0006361318185985218,6.277283927519017e-05
5.0,161.39971923828125,152.68601989746094,8.713698387145996,4.6479818683595973e-23,8.035112110845926e-71,9.874353787357387e-163,2.5315437537618017e-18,4.889935047460415e-67,1.4696422651590297e-159,,,,0.00016431940369062648,0.00037430868944925215,2.8040167128714337e-05
6.0,159.71966552734375,151.0222930908203,8.697379112243652,4.8896758804542243e-23,4.311490853766158e-70,1.0350543122170634e-147,6.829479482904943e-18,2.5813758436165293e-66,3.539363414194229e-144,,,,0.00016702297979691712,0.00036337144128541427,3.830911718091074e-05
7.0,160.10552978515625,151.21705627441406,8.888470649719238,3.4359180719396e-23,2.931282141369263e-70,1.2255148102277308e-145,1.5074933882241565e-18,2.1245734346621645e-66,7.488484477611658e-142,,,,0.00013797038471562178,0.0002942850498841755,3.3123562182377346e-05
8.0,158.02015686035156,148.71131896972656,9.308843612670898,7.947370357676484e-23,2.35890675352381e-69,2.711733940744372e-151,7.361850585369474e-18,2.603094079615767e-65,6.577540852184319e-148,,,,9.061934303473231e-05,0.0001960610555738556,1.878362392513526e-05
9.0,157.31285095214844,147.78607177734375,9.52678394317627,5.857118501376604e-23,4.785111109610416e-69,1.0127079291364422e-160,1.0321055864435332e-17,6.566322333285173e-65,1.3646824127639288e-156,,,,7.287353356618413e-05,0.00015430811682546827,1.9396107041897283e-05
10.0,157.4347686767578,147.61212158203125,9.822651863098145,2.9576947828146343e-23,4.235873858458617e-69,4.710158802532604e-166,1.9959595302624362e-17,7.813883692668931e-65,1.5634869345357428e-162,,,,5.420958418452956e-05,0.00012418296383288476,1.274366537800646e-05
