epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness,kldiv_accuracy,kldiv_decisiveness,kldiv_robustness
1.0,184.06292724609375,178.06227111816406,6.000661849975586,1.9812408468955802e-29,1.1547236028705138e-80,1.6101359065936403e-137,1.3844063419477707e-24,4.661573235120841e-78,1.063721217167509e-134,,,,0.0024771113626847886,0.004157697506782672,0.0008813507095062103
2.0,172.63233947753906,165.67626953125,6.95607328414917,6.803257532457407e-25,1.0634785234601756e-75,7.113029409318136e-146,3.7227870465794514e-20,1.116124940559503e-72,8.28441437806115e-143,,,,0.0009528310718753998,0.0020917973839859132,0.0002561717582876266
3.0,167.59092712402344,159.91188049316406,7.679040431976318,4.870166729763763e-23,1.6451143763492568e-73,7.389091591413238e-156,1.2290648859252903e-18,3.557630015000947e-70,1.7018025607760075e-152,,,,0.00046241862403132095,0.0011802112867498604,6.809599526221939e-05
4.0,164.56268310546875,156.39430236816406,8.168381690979004,3.012392100617535e-23,3.3988566537892816e-72,1.1136609905718734e-162,5.558759289418015e-19,1.198990883650295e-68,4.815096542834377e-159,,,,0.00028347643840640163,0.0007822028160984374,4.4270264618986826e-05
5.0,163.09719848632812,154.33285522460938,8.764345169067383,3.9393008972386306e-23,1.4715821897066544e-71,9.274975712397226e-146,2.8308369259577208e-18,9.420874704829275e-68,3.522209206700478e-142,,,,0.0001562044115661895,0.0004932414523128174,2.3040042707597143e-05
6.0,161.1889190673828,152.56565856933594,8.623257637023926,1.9066324384043126e-22,9.92096362536218e-71,5.58357517464415e-144,1.5229853449743308e-17,5.5155337479937253e-67,1.375335835137444e-140,,,,0.00017987313791654273,0.0005322720329546158,3.355669583425342e-05
7.0,160.1752471923828,151.06320190429688,9.11204719543457,7.854411314666706e-23,2.7338511125943444e-70,1.2551214295201134e-152,4.7698174103182746e-18,2.477919456854738e-66,1.716765686003652e-148,,,,0.00011032848969451369,0.0003402865138363306,1.9920848241987754e-05
8.0,159.69601440429688,150.51953125,9.176487922668457,3.723963057508003e-23,4.414706925878762e-70,1.1443492785101444e-143,2.9445727006176628e-18,4.267761935646072e-66,1.4094579719460577e-139,,,,0.00010344313934208292,0.0003112280200477288,2.24871778981521e-05
9.0,158.60357666015625,149.35877990722656,9.244803428649902,8.17794317132967e-23,1.316291968506163e-69,3.816337009675455e-160,7.639480959429298e-18,1.3624450977776817e-65,6.266025532181429e-156,,,,9.661247786448032e-05,0.0002607924387485379,2.322875984215457e-05
10.0,157.99778747558594,149.0865478515625,8.911238670349121,4.960732841395592e-23,2.4123048506282787e-69,1.6856375221674599e-158,9.644425690894369e-18,1.788685930216167e-65,1.7870354458770872e-154,,,,0.00013486464056530788,0.0003557659868644094,4.051759010081906e-05
